index_0,index_1,index_2,index_3
Definitivamente deberías,ignorar,todo,sin pensarlo dos veces
Sin duda tienes que,olvidar,eso,lo antes posible
Claramente es mejor,culpar a,la situación,inmediatamente
Probablemente deberías considerar,esconder,los problemas,todos los días
Seguramente es buena idea,mentir sobre,las oportunidades,cada vez que puedas
Lo mejor sería,confundir,los detalles,porque sí
Siempre es útil,evitar,la verdad,por diversión
Nunca dudes en,sabotear,los hechos,sin motivo alguno
Deberías,rechazar,las posibilidades,sin arrepentimientos
Podrías intentar,abandonar,la realidad,con convicción
La solución es,arruinar,las opciones,con una sonrisa
Intenta,procrastinar en,las respuestas,en cualquier lugar
Considera,subestimar,las decisiones,sin dudar
Asegúrate de,insultar a,los consejos,en público
No olvides,interrumpir,las dudas,con orgullo
El secreto es,destruir,las soluciones,sin mirar atrás
Lo ideal es,engañar a,los resultados,a toda costa
Lo peor sería,fingir,las promesas,con energía
Es fundamental,huir de,las esperanzas,para siempre
Es crucial,perder,las expectativas,sin límites
